complaint_id,created_date,closed_date,category,subcategory,status,zone_id,latitude,longitude,severity,resolution_days,description
CMP-000001,2025-01-01T23:06:00,2025-01-03T23:06:00,pothole,major_road,closed,Z01,17.305959,78.443728,2,2,pothole issue reported near Downtown Core
CMP-000002,2025-01-01T22:41:00,2025-01-01T22:41:00,trash,illegal_dumping,closed,Z09,17.389842,78.455638,3,0,trash issue reported near Lakeview
CMP-000003,2025-01-01T08:09:00,2025-01-05T08:09:00,pothole,major_road,closed,Z12,17.371796,78.468791,2,6,pothole issue reported near Harbour Point
CMP-000004,2025-01-01T17:07:00,2025-01-21T17:07:00,water,leak,closed,Z13,17.358636,78.525728,4,20,water issue reported near University District
CMP-000005,2025-01-01T01:42:00,2025-01-04T01:42:00,water,main_break,closed,Z09,17.376025,78.490682,4,12,water issue reported near Lakeview
CMP-000006,2025-01-01T22:59:00,2025-01-17T22:59:00,water,leak,closed,Z03,17.426996,78.506828,4,16,water issue reported near East Junction
CMP-000007,2025-01-01T20:44:00,2025-01-05T20:44:00,streetlight,broken,closed,Z03,17.34581,78.40642,5,4,streetlight issue reported near East Junction
CMP-000008,2025-01-01T18:56:00,2025-01-04T18:56:00,water,no_water,closed,Z06,17.379126,78.58291,2,3,water issue reported near Riverside
CMP-000009,2025-01-01T23:35:00,2025-01-01T23:35:00,noise,industrial,closed,Z02,17.372399,78.599465,2,0,noise issue reported near North Hills
CMP-000010,2025-01-01T21:27:00,,pothole,alley,open,Z13,17.419178,78.49361,3,,pothole issue reported near University District
CMP-000011,2025-01-01T00:43:00,2025-01-11T00:43:00,water,discolored,closed,Z15,17.32231,78.486953,4,10,water issue reported near Central Park
CMP-000012,2025-01-01T23:16:00,2025-01-05T23:16:00,noise,construction,closed,Z01,17.474104,78.459689,4,4,noise issue reported near Downtown Core
CMP-000013,2025-01-01T16:58:00,2025-01-02T16:58:00,water,discolored,closed,Z12,17.475744,78.566333,3,7,water issue reported near Harbour Point
CMP-000014,2025-01-01T18:05:00,2025-01-04T18:05:00,water,main_break,closed,Z04,17.495597,78.506541,2,5,water issue reported near South Market
CMP-000015,2025-01-01T17:10:00,2025-01-05T17:10:00,streetlight,flickering,closed,Z02,17.44259,78.479798,3,4,streetlight issue reported near North Hills
CMP-000016,2025-01-01T03:15:00,,sanitation,sewer_backup,open,Z10,17.417662,78.446023,3,,sanitation issue reported near Industrial Zone
CMP-000017,2025-01-01T01:14:00,,streetlight,flickering,open,Z01,17.355695,78.497083,4,,streetlight issue reported near Downtown Core
CMP-000018,2025-01-01T18:36:00,2025-01-13T18:36:00,trash,hazardous,closed,Z02,17.461499,78.438082,5,12,trash issue reported near North Hills
CMP-000019,2025-01-01T23:03:00,,pothole,highway,open,Z10,17.460119,78.421854,3,,pothole issue reported near Industrial Zone
CMP-000020,2025-01-01T08:29:00,2025-01-01T08:29:00,streetlight,broken,closed,Z03,17.388626,78.57227,3,0,streetlight issue reported near East Junction
CMP-000021,2025-01-01T17:53:00,2025-01-15T17:53:00,trash,illegal_dumping,closed,Z02,17.381283,78.496272,4,14,trash issue reported near North Hills
CMP-000022,2025-01-01T00:24:00,2025-01-06T00:24:00,noise,industrial,closed,Z14,17.35705,78.539318,2,5,noise issue reported near Hilltop
CMP-000023,2025-01-01T04:12:00,2025-01-03T04:12:00,sanitation,sewer_backup,closed,Z15,17.449595,78.411433,3,2,sanitation issue reported near Central Park
CMP-000024,2025-01-01T01:32:00,2025-01-04T01:32:00,trash,missed_pickup,closed,Z07,17.419007,78.535043,3,12,trash issue reported near Old Town
CMP-000025,2025-01-01T18:15:00,2025-01-04T18:15:00,streetlight,missing,closed,Z06,17.486941,78.440852,5,10,streetlight issue reported near Riverside
CMP-000026,2025-01-01T20:19:00,2025-01-05T20:19:00,sanitation,sewer_backup,closed,Z04,17.301863,78.524232,3,4,sanitation issue reported near South Market
CMP-000027,2025-01-01T06:32:00,,trash,illegal_dumping,open,Z15,17.373905,78.431549,2,,trash issue reported near Central Park
CMP-000028,2025-01-01T20:33:00,2025-01-02T20:33:00,trash,overflow_bin,closed,Z11,17.486351,78.420717,3,11,trash issue reported near Greenfield
CMP-000029,2025-01-02T17:09:00,2025-01-06T17:09:00,water,discolored,closed,Z02,17.401082,78.450224,2,4,water issue reported near North Hills
CMP-000030,2025-01-02T00:21:00,2025-01-11T00:21:00,pothole,highway,closed,Z02,17.332316,78.488367,3,9,pothole issue reported near North Hills
CMP-000031,2025-01-02T22:57:00,2025-01-07T22:57:00,sanitation,drain_clogged,closed,Z06,17.385957,78.408366,2,5,sanitation issue reported near Riverside
CMP-000032,2025-01-02T01:57:00,2025-01-14T01:57:00,water,low_pressure,closed,Z14,17.433387,78.470736,4,13,water issue reported near Hilltop
CMP-000033,2025-01-02T19:47:00,2025-01-10T19:47:00,trash,illegal_dumping,closed,Z14,17.476283,78.404957,3,8,trash issue reported near Hilltop
CMP-000034,2025-01-02T21:55:00,2025-01-23T21:55:00,sanitation,manhole_overflow,closed,Z14,17.33184,78.540256,4,21,sanitation issue reported near Hilltop
CMP-000035,2025-01-02T07:12:00,2025-01-12T07:12:00,noise,traffic,closed,Z13,17.344585,78.532007,4,14,noise issue reported near University District
CMP-000036,2025-01-02T08:22:00,2025-01-08T08:22:00,noise,nightlife,closed,Z05,17.487847,78.423068,4,6,noise issue reported near West Gate
CMP-000037,2025-01-02T03:38:00,2025-01-02T03:38:00,water,leak,closed,Z03,17.323129,78.579901,2,0,water issue reported near East Junction
CMP-000038,2025-01-02T00:33:00,2025-01-17T00:33:00,streetlight,flickering,closed,Z04,17.372844,78.413995,4,15,streetlight issue reported near South Market
CMP-000039,2025-01-02T03:46:00,2025-01-09T03:46:00,sanitation,odor,closed,Z14,17.439442,78.510882,3,7,sanitation issue reported near Hilltop
CMP-000040,2025-01-02T21:47:00,2025-01-10T21:47:00,streetlight,missing,closed,Z06,17.381215,78.566745,5,8,streetlight issue reported near Riverside
CMP-000041,2025-01-02T18:38:00,2025-01-05T18:38:00,water,leak,closed,Z04,17.394637,78.580236,3,3,water issue reported near South Market
CMP-000042,2025-01-02T02:52:00,2025-01-04T02:52:00,trash,overflow_bin,closed,Z10,17.344928,78.439826,3,2,trash issue reported near Industrial Zone
CMP-000043,2025-01-02T02:29:00,2025-01-07T02:29:00,pothole,alley,closed,Z01,17.398875,78.448797,5,5,pothole issue reported near Downtown Core
CMP-000044,2025-01-02T03:49:00,2025-01-16T03:49:00,sanitation,odor,closed,Z11,17.310044,78.44984,4,15,sanitation issue reported near Greenfield
CMP-000045,2025-01-02T19:20:00,2025-01-22T19:20:00,pothole,alley,closed,Z07,17.466114,78.509574,4,22,pothole issue reported near Old Town
CMP-000046,2025-01-02T08:48:00,2025-01-05T08:48:00,streetlight,missing,closed,Z12,17.453163,78.50426,3,3,streetlight issue reported near Harbour Point
CMP-000047,2025-01-02T07:17:00,2025-01-03T07:17:00,sanitation,drain_clogged,closed,Z04,17.376607,78.430561,3,1,sanitation issue reported near South Market
CMP-000048,2025-01-02T17:29:00,,streetlight,pole_damaged,open,Z01,17.377895,78.553959,3,,streetlight issue reported near Downtown Core
CMP-000049,2025-01-02T15:00:00,2025-01-15T15:00:00,sanitation,odor,closed,Z01,17.407644,78.546927,4,15,sanitation issue reported near Downtown Core
CMP-000050,2025-01-03T21:51:00,2025-01-07T21:51:00,noise,industrial,closed,Z01,17.483908,78.596144,3,4,noise issue reported near Downtown Core
CMP-000051,2025-01-03T18:42:00,2025-01-08T18:42:00,trash,illegal_dumping,closed,Z01,17.310057,78.475821,3,9,trash issue reported near Downtown Core
CMP-000052,2025-01-03T13:16:00,2025-01-16T13:16:00,noise,construction,closed,Z04,17.449805,78.410417,5,13,noise issue reported near South Market
CMP-000053,2025-01-03T20:02:00,2025-01-08T20:02:00,water,leak,closed,Z04,17.330476,78.425244,2,5,water issue reported near South Market
CMP-000054,2025-01-03T08:49:00,2025-01-03T08:49:00,sanitation,sewer_backup,closed,Z02,17.455558,78.432753,5,0,sanitation issue reported near North Hills
CMP-000055,2025-01-03T09:36:00,2025-01-04T09:36:00,water,low_pressure,closed,Z02,17.315199,78.538123,1,1,water issue reported near North Hills
CMP-000056,2025-01-03T21:38:00,2025-01-03T21:38:00,sanitation,sewer_backup,closed,Z04,17.369441,78.485676,4,0,sanitation issue reported near South Market
CMP-000057,2025-01-03T00:54:00,2025-01-04T00:54:00,water,no_water,closed,Z01,17.441462,78.487097,3,1,water issue reported near Downtown Core
CMP-000058,2025-01-03T17:49:00,2025-01-17T17:49:00,sanitation,manhole_overflow,closed,Z08,17.364461,78.449099,4,14,sanitation issue reported near Tech Park
CMP-000059,2025-01-03T18:39:00,2025-01-06T18:39:00,pothole,residential_street,closed,Z04,17.39751,78.470965,3,3,pothole issue reported near South Market
