incident_id,date,time,zone_id,latitude,longitude,severity,type,road_type,weather_condition,injuries,fatalities
INC-000001,2025-01-01,09:22,Z09,17.399069,78.425495,2,cyclist,arterial,clear,2,0
INC-000002,2025-01-01,03:33,Z09,17.398522,78.549633,2,single_vehicle,arterial,rain,1,0
INC-000003,2025-01-01,02:44,Z13,17.450247,78.591717,3,single_vehicle,collector,clear,2,0
INC-000004,2025-01-01,03:15,Z15,17.388261,78.527854,3,multi_vehicle,highway,clear,3,0
INC-000005,2025-01-01,07:20,Z08,17.491945,78.511752,2,cyclist,collector,storm,1,0
INC-000006,2025-01-01,11:54,Z09,17.310002,78.456478,2,pedestrian,local,clear,1,0
INC-000007,2025-01-01,10:26,Z08,17.406958,78.495817,3,pedestrian,local,clear,2,0
INC-000008,2025-01-02,23:46,Z13,17.349043,78.40698,3,single_vehicle,collector,clear,3,0
INC-000009,2025-01-02,01:47,Z15,17.46979,78.527556,4,pedestrian,highway,rain,3,0
INC-000010,2025-01-02,18:48,Z13,17.356943,78.416942,3,pedestrian,arterial,clear,2,0
INC-000011,2025-01-02,03:03,Z10,17.414988,78.511495,2,cyclist,arterial,rain,0,0
INC-000012,2025-01-02,14:45,Z06,17.338326,78.403754,3,single_vehicle,collector,clear,0,0
INC-000013,2025-01-02,01:01,Z12,17.449913,78.57554,2,cyclist,arterial,clear,2,0
INC-000014,2025-01-02,09:11,Z14,17.444392,78.536446,2,collision,local,clear,0,0
INC-000015,2025-01-02,11:31,Z13,17.399403,78.401362,4,multi_vehicle,collector,clear,1,0
INC-000016,2025-01-02,13:05,Z09,17.386508,78.474943,3,multi_vehicle,highway,rain,1,0
INC-000017,2025-01-03,18:21,Z09,17.40393,78.503473,2,pedestrian,arterial,clear,2,0
INC-000018,2025-01-03,23:04,Z15,17.46898,78.549323,4,pedestrian,collector,clear,4,0
INC-000019,2025-01-03,07:57,Z08,17.396672,78.417514,3,collision,highway,rain,2,0
INC-000020,2025-01-03,23:15,Z14,17.387383,78.478213,2,cyclist,arterial,clear,0,0
INC-000021,2025-01-03,17:50,Z13,17.490006,78.468721,4,cyclist,arterial,clear,3,0
INC-000022,2025-01-03,14:46,Z07,17.389596,78.403581,5,multi_vehicle,arterial,fog,1,0
INC-000023,2025-01-03,16:49,Z02,17.390006,78.474334,2,single_vehicle,highway,clear,0,0
INC-000024,2025-01-03,20:02,Z15,17.450755,78.462745,3,single_vehicle,arterial,fog,1,0
INC-000025,2025-01-04,08:38,Z11,17.351153,78.577942,3,single_vehicle,highway,clear,3,0
INC-000026,2025-01-04,07:06,Z03,17.463521,78.419989,1,collision,highway,clear,1,0
